MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
52885;2504978;1534402943350637753;36581;53;1;255;2;51;11210000000;;0;1534402943350623205;1534402943350633872;1534402943350674981;1534402943350676477;1534402943350622028
52885;2504978;1534402943350739456;36585;53;1;255;1;21;11210000000;;0;1534402943350716055;1534402943350731950;1534402943350773031;1534402943350774637;1534402943350714898
52885;2504978;1534402943350810673;36587;53;1;255;1;100;11210000000;;0;1534402943350795947;1534402943350804904;1534402943350839465;1534402943350841069;1534402943350794796
57618;2570805;1534402943405999405;304162;80;1;255;1;163;1952000000;;0;1534402943405926176;1534402943405986344;1534402943406066436;1534402943406068273;
52761;2504854;1534402943606914596;213074;58;1;255;2;151;3112000000;;0;1534402943606865001;1534402943606910882;1534402943606946930;1534402943606948395;
52487;2504580;1534402943633091692;213099;58;0;255;1;169;5065000000;;0;1534402943633069329;1534402943633087994;1534402943633133812;1534402943633135239;1534402943633068231
52487;2504580;1534402943633164462;213101;58;1;255;2;400;5065000000;;0;1534402943633148141;1534402943633159983;1534402943633190577;1534402943633191955;1534402943633147030
52487;2504580;1534402943633275042;213109;58;1;255;2;795;5065000000;;0;1534402943633195661;1534402943633210439;1534402943633302510;1534402943633304067;1534402943633194552
52487;2504580;1534402943633299380;213110;58;1;255;2;1687;5065000000;;0;1534402943633196949;1534402943633215908;1534402943633328998;1534402943633330125;1534402943633195841
52875;2504968;1534402943641499080;1254657;56;1;255;2;75;1735000000;;0;1534402943641444348;1534402943641493562;1534402943641525862;1534402943641527428;1534402943641390345
52487;2504580;1534402943645720237;213153;58;1;255;1;150;5075000000;;0;1534402943645707279;1534402943645716616;1534402943645748255;1534402943645749691;1534402943645706170
52989;2505082;1534402943658716101;1254664;56;1;255;1;192;2030000000;;0;1534402943658667165;1534402943658711374;1534402943658740303;1534402943658741878;
52807;2504900;1534402943659569851;36634;53;0;255;2;174;8183000000;;0;1534402943659554839;1534402943659564823;1534402943659606196;1534402943659607641;1534402943659553679
57617;2570740;1534402944056750139;11140;80;1;255;2;2;2180000000;;0;1534402944056404568;1534402944056734802;1534402944056810570;1534402944056812312;1534402944056342002
52931;2505024;1534402944058502716;36671;53;1;255;1;2;2140000000;;0;1534402944058488301;1534402944058499044;1534402944058558610;1534402944058560026;1534402944058487128
52758;2504851;1534402944129295460;1254826;56;1;255;2;33;6400000000;;0;1534402944129248544;1534402944129290368;1534402944129324933;1534402944129326471;
